,store,sido,gungu,address,phone
29,향남2지구점,경기도,화성시,경기도 화성시 향남읍 상신하길로298번길 7-27(1층 111호),031-352-4837
30,행신2호점,경기도,고양시,"경기도 고양시 덕양구  중앙로 478, 109호",031-972-9294
31,행당점,서울특별시,성동구,서울특별시 성동구  행당로 79,02-2294-9294
32,해운대중동점,부산광역시,해운대구,"부산광역시 해운대구  달맞이길65번길 15, 103호",051-701-9235
33,해남점,전라남도,해남군,전라남도 해남군 해남읍 법원길4,061-537-9494
34,함열점,전라북도,익산시,전라북도 익산시 함열읍 함열1길 28,063-862-9994
35,함안칠원점,경상남도,함안군,경상남도 함안군 칠원읍 구성길 43,055-587-9030
36,함안가야점,경상남도,함안군,경상남도 함안군 가야읍 가야로 135,055-583-9282
37,한성대점,서울특별시,성북구,서울특별시 성북구  삼선교로2길 3,02-762-9294
38,한남대점,대전광역시,동구,대전광역시 동구  홍도로 54,042-638-9492
39,학익점,인천광역시,미추홀구,"인천광역시 미추홀구 소성로 168, 1층",032-873-9922
40,하월곡점,서울특별시,성북구,서울특별시 성북구 오패산로3길 122,02-941-9282
41,"하안3,4동점",경기도,광명시,경기도 광명시  하안로 254,02-893-9282
42,하복대점,충청북도,청주시,충청북도 청주시 흥덕구  죽천로 120,043-236-5594
43,하당지구점,전라남도,목포시,전라남도 목포시  옥암로96번길 14,061-285-9294
44,하늘도시1호점,인천광역시,중구,"인천광역시 중구  하늘달빛로 64번길 6-3, 스카이프자라 105호",032-746-9492
45,하남신장점,경기도,하남시,경기도 하남시 신장동 427-134번지,031-791-9492/031-791-9211
46,풍향산수점,광주광역시,북구,광주광역시 북구 풍향동 579-5번지,062-269-9492
47,풍덕천2동점,경기도,용인시,경기도 용인시 수지구 풍덕천2동 504-10번지 104호,031-266-9295
48,풍납1호점,서울특별시,송파구,서울특별시 송파구  풍성로24길 40,02-474-8292
49,풍기점,경상북도,영주시,경상북도 영주시 풍기읍 기주로 89,054-637-9294/054-638-9294
50,표선점,제주도,서귀포시,제주도 서귀포시 표선면 표선중앙로 106,064-787-8295/064-787-8990
51,포항흥해점,경상북도,포항시,경상북도 포항시 북구 흥해읍 한동로 40번길 20,054-262-8294
52,포항효곡점,경상북도,포항시,경상북도 포항시 남구  효자동길10번길 27,054-282-9294/054-281-9294
53,포항죽도점,경상북도,포항시,"경상북도 포항시 북구 죽파로 24, 1층 101호",054-277-8294
54,포항오천점,경상북도,포항시,경상북도  포항시 남구 오천읍 냉천로340번길 16,054-292-9294
55,포항양포점,경상북도,포항시,경상북도 포항시 남구  동해안로3268,054-276-9492
56,포항양덕점,경상북도,포항시,경상북도 포항시 북구 양덕동 1779번지,054-244-9494
57,포항두호우현점,경상북도,포항시,"경상북도 포항시 북구  새천년대로 1020길 12, 213동 106호",054-254-9294
58,포항동해점,경상북도,포항시,경상북도 포항시 남구  일월로 100,054-283-9294
59,포항대이양학점,경상북도,포항시,"경상북도 포항시 북구  이동로 48-1, 205호",054-282-9559
60,포천점,경기도,포천시,경기도 포천시  원앙로 18-2,031-536-9288
61,포천일동점,경기도,포천시,경기도 포천시 일동면 기산6리 91-36,031-532-9492
62,포천운천점,경기도,포천시,경기도 포천시 영북면 운천로 6-1,031-534-9493
63,평택포승점,경기도,평택시,경기도 평택시 포승읍 도곡리 1141-17,031-684-9404
64,평택팽성점,경기도,평택시,"경기도 평택시 팽성읍 송화택지로 72, A 1층",031-656-8294
65,평택안중점,경기도,평택시,경기도 평택시 안중읍 안현로서7길 10,031-682-9492
66,평택고덕점,경기도,평택시,"경기도 평택시 고덕면 효덕새싹길 24-3, 101호",031-664-5441
67,평촌스마트점,경기도,안양시,경기도 안양시 동안구  시민대로327번길 7,031-423-9992
68,평내점,경기도,남양주시,경기도 남양주시  경춘로1286번안길 4-2,031-594-9492
69,파주교하점,경기도,파주시,경기도 파주시  책향기로 369,031-949-9484
70,퇴계원점,경기도,남양주시,"경기도 남양주시 퇴계원면 퇴계원로 74, 2층 우측호",031-529-9973
71,통진점,경기도,김포시,경기도 김포시 통진읍 서암리 1113 서암주공아파트 제상가동 101호,031-989-0290
72,통영죽림점,경상남도,통영시,경상남도 통영시 광도면 죽림3로 43-16,055-645-9294
73,통영도남미수점,경상남도,통영시,경상남도 통영시  도남로 81,055-648-9294
74,"태평2,4동점",경기도,성남시,"경기도 성남시 수정구  탄리로 96번길 20, 102호",031-755-9492
75,태장우산점,강원도,원주시,"강원도 원주시 북원로2718번길 2, 1층(태장동)",033-747-9492
76,태백점,강원도,태백시,강원도 태백시  상장남길 67,033-553-9482/033-553-9488
77,탄현점,경기도,고양시,경기도 고양시 일산구 현중로 26번길 81,031-912-9492
78,킨텍스점,경기도,고양시,"경기도 고양시 일산서구 킨텍스로 240, 판매시설동 172호, 13호(대화동, 킨텍스 꿈에그린)",031-922-9492
79,칠금문화점,충청북도,충주시,충청북도 충주시  칠금3길 16-1,043-856-8294
80,칠곡왜관점,경상북도,칠곡군,경상북도 칠곡군 왜관읍 2번도로길 64,054-972-9294
81,충효탑정점,경상북도,경주시,경상북도 경주시  충효녹지길 6-17,054-772-8294/054-775-8294
82,충주호암용산점,충청북도,충주시,충청북도 충주시 호암동 133-10번지 102호,043-855-9599
83,충북증평읍점,충청북도,증평군,충청북도 증평군 증평읍 초중로 45,043-838-9482
84,충북제천1호점,충청북도,제천시,충청북도 제천시  의림대로 190,043-652-9289
85,충북옥천점,충청북도,옥천군,충청북도 옥천군 옥천읍 금장로 62,043-731-9279
86,충북옥산점,충청북도,청주시,충청북도 청주시 흥덕구 옥산면 가락길32,043-263-9966/043-275-9494
87,충북오창점,충청북도,청원군,충청북도 청원군 오창읍 구룡리 408-6번지,043-217-9289
88,충북괴산점,충청북도,괴산군,충청북도 괴산군 괴산읍 읍내로13길 21,043-833-9495/043-833-9497
89,충무로점,서울특별시,중구,서울특별시 중구 충무로4가 120-3 진양상가 2층,02-2268-9295
90,충무공점,경상남도,진주시,경상남도 진주시 충무공동 282-6 가온누리 빌딩 107호,055-761-9248
91,충남합덕점,충청남도,당진시,충청남도 당진시 합덕읍 미락4길 33,041-363-9272
92,충남태안점,충청남도,태안군,충청남도 태안군 태안읍 동문리 터널길 25,041-674-9252
93,충남당진점,충청남도,당진시,충청남도 당진시  읍내동 1096,041-352-9294/041-353-9294
94,충남논산점,충청남도,논산시,충청남도 논산시  내동 1169번지 101호,041-733-9282
95,춘천후평점,강원도,춘천시,"강원도 춘천시  부평길 8, 1층 우측",033-253-9952
96,춘천효자점,강원도,춘천시,강원도 춘천시 효자동 665-1,033-257-8892
97,춘천소양점,강원도,춘천시,강원도 춘천시 소양로2가 1-63번지,033-243-8892
98,춘천석사점,강원도,춘천시,강원도 춘천시 석사동 642번지,033-263-9582
99,초월점,경기도,광주시,"경기도 광주시 초월읍 경충대로1127번길 55, E편한세상 B-106호",031-765-9492
100,청파점,서울특별시,용산구,서울특별시 용산구  청파로 333,02-712-9892
101,청주용암점,충청북도,청주시,충청북도 청주시 상당구 용암동 2183번지,043-297-9289
102,청주분평점,충청북도,청주시,충청북도 청주시 서원구  수영로 19-2,043-295-9277
103,청주봉명점,충청북도,청주시,충청북도 청주시 흥덕구  과상미로 62,043-272-9294
104,청주동남지구점,충청북도,청주시,"충청북도 청주시 상당구  중고개로 104,  상가2동 103호(용암동, 칸타빌 더 테라스 2단지)",043-286-0902
105,청주금천점,충청북도,청주시,충청북도 청주시 상당구  중고개로 273번길 64,043-223-9989
106,청주강서지구점,충청북도,청주시,충청북도 청주시 흥덕구  서현북로 24,043-239-8292
107,청주가경,충청북도,청주시,"충청북도 청주시 흥덕구  경산로28,1층",043-236-9294
108,청북점,경기도,평택시,경기도 평택시 청북읍 옥길리 1165-5,031-684-9004
109,청룡점,서울특별시,관악구,"서울특별시 관악구  쑥고개로 89, 1층",02-886-9294
110,청라2호점,인천광역시,서구,인천광역시 서구 경서동 981-93 1층 101호,032-565-9298
111,청라1호점,인천광역시,서구,"인천광역시 서구 청라라임로100, 104",032-568-9233
112,청담점,서울특별시,강남구,서울특별시 강남구 청담동 35-1 1층,02-541-9294
113,첨단2호점,광주광역시,북구,"광주광역시 북구  첨단연신로91번길 44, 대성빌딩 112호",062-576-9233
114,"철산3,4동점",경기도,광명시,경기도 광명시  도덕공원로 23,02-2619-9294
115,천호3동점,서울특별시,강동구,"서울특별시 강동구  구천면로 238, 103호",02-486-9492
116,천호1동점,서울특별시,강동구,서울특별시 강동구 천호1동 224-50번지,02-488-9492
117,천안청수점,충청남도,천안시,충청남도 천안시 동남구 청수동 204번지,041-566-8294
118,천안차암점,충청남도,천안시,충청남도 천안시 서북구 차암동 435-1힐링제이타워 1층 115호,041-554-9492/041-554-9491
119,천안직산점,충청남도,천안시,"충청남도 천안시 서북구 직산읍 삼은3길 38, 102호",041-583-9482
120,천안용곡점,충청남도,천안시,충청남도 천안시 동남구  새말1길 47,041-592-8292
121,천안쌍용점,충청남도,천안시,충청남도 천안시 서북구 쌍용2동 725번지,041-573-5959
122,천안신부점,충청남도,천안시,충청남도 천안시 동남구 신부동 319-37,041-555-9492
123,천안성환점,충청남도,천안시,충청남도 천안시 서북구  성환3로 38 1층,041-587-9595
124,천안성정점,충청남도,천안시,충청남도  천안시 서북구  성정로 47-1,041-578-9294
125,천안성성점,충청남도,천안시,충청남도 천안시 서북구  성성2길 54-1,041-556-9482
126,천안백석점,충청남도,천안시,"충청남도  천안시 서북구   백석4길 31, 108호",041-557-9492
127,천안두정점,충청남도,천안시,충청남도 천안시 서북구 두정고3길 8  (두정동),041-563-9494
128,창원팔용점,경상남도,창원시,경상남도 창원시 의창구 팔용동 183-9번지,055-253-9492
129,창원중앙점,경상남도,창원시,경상남도 창원시 성산구 중앙동 78-2,055-285-9282
130,창원소답점,경상남도,창원시,경상남도 창원시 의창구 소답동 118-4번지 칠성빌라 나동 1호,055-251-8294/055-251-8295
131,창원봉곡사림점,경상남도,창원시,경상남도 창원시 의창구  사림로 53,055-266-9492
132,창원반송점,경상남도,창원시,경상남도 창원시 성산구  원이대로393번길 17,055-261-9294
133,창원명서도계점,경상남도,창원시,경상남도 창원시 의창구  도계동396-7 1층,055-276-9294
134,창원동읍점,경상남도,창원시,경상남도 창원시 의창구 동읍 용정길32번길 16,055-252-9282
135,창원대방점,경상남도,창원시,"경상남도 창원시 성산구 창이대로901번길 30, 120호(대방동, 대방그린빌아파트)",055-283-9494
136,창원감계점,경상남도,창원시,"경상남도 창원시 의창구 북면 감계로 266, 204호",055-255-0770
137,창녕읍점,경상남도,창녕군,경상남도 창녕군 창녕읍  명덕로 6-1,055-533-9492
138,창4동점,서울특별시,도봉구,"서울특별시 도봉구  노해로70길 46,102호",02-902-9289
139,창2동점,서울특별시,도봉구,"서울특별시 도봉구  도봉로 110다길 51,  태영 창동데시앙 아파트상가 109호",02-997-0092
140,진해웅천점,경상남도,진해시,경상남도 진해시 성내동 359-1번지,055-542-9999
141,진해용원웅동점,경상남도,진해시,경상남도 진해시 안골동 376-3,055-552-8595
142,진해석동풍호점,경상남도,창원시,"경상남도 창원시 진해구  냉천로 88, 103호",055-544-9494
143,진해경화태백점,경상남도,창원시,경상남도 창원시 진해구  중초로 37,055-547-8595
144,진천읍점,충청북도,진천군,충청북도 진천군 진천읍 중앙동로 132,043-533-9492
145,진주하대초장점,경상남도,진주시,경상남도 진주시  하대로 116,055-759-9285
146,진주칠암망경점,경상남도,진주시,경상남도 진주시  진주대로 849-10,055-762-9285
147,진주신안평거점,경상남도,진주시,경상남도 진주시 신평공원길 25번길 12-13,055-748-9492/055-637-8607
148,진주상봉봉안점,경상남도,진주시,경상남도 진주시  진주성로 103,055-743-8294
149,진주상대점,경상남도,진주시,경상남도 진주시 상대동 310-78번지,055-758-9282
150,진주금산점,경상남도,진주시,경상남도 진주시 금산면 중천로 74,055-761-9474
151,진주가호점,경상남도,진주시,경상남도 진주시  진주대로 568번길 8,055-752-9444
152,진접지구점,경기도,남양주시,경기도 남양주시 진접읍 해밀예당2로 117,031-529-9482
153,진안점,경기도,화성시,"경기도  화성시  병점동로 126, 1층 101,102호",031-222-9234
154,진부점,강원도,평창군,강원도 평창군 진부면 진부중앙로 53,033-336-7889
155,진도점,전라남도,진도군,전라남도 진도군 진도읍 쌍정리 257-20,061-544-9480/061-544-9433
156,지행1호점,경기도,동두천시,경기도 동두천시 지행동 688번지,031-867-9292
157,지세포점,경상남도,거제시,경상남도 거제시 일운면 거제대로 2471,055-681-9422/055-681-9424
158,지산신장점,경기도,평택시,경기도 평택시  송탄공원로73 (지산동),031-666-5959
159,중화1호점,서울특별시,중랑구,서울특별시 중랑구 중화1동 295-22,02-492-8294
160,중촌목동점,대전광역시,중구,대전광역시 중구  중촌로24번길 23. 1층,042-222-9295
161,중앙반월점,경상남도,창원시,"경상남도 창원시 마산합포   3.15대로 77, 105호",055-222-9296
162,중앙경찰학교점,충청북도,충주시,충청북도 충주시 수안보면 수회리로 138,043-870-3093
163,중산점,경기도,고양시,경기도 고양시 일산동구  탄중로 431번길 32 031-975-9291,031-975-9291
164,중동2호점,경기도,부천시,경기도 부천시 원미구 중동 1058-1,032-329-9994/032-329-9996
165,중곡4동점,서울특별시,광진구,서울특별시 광진구 중곡동 79-16번지,02-452-9998
166,중곡1동점,서울특별시,광진구,서울특별시 광진구  능동로 339,02-499-9294
167,죽전단국대점,경기도,용인시,"경기도 용인시 수지구  죽전로 164, 1층 102호(죽전동, 화이트존)",031-897-9494
168,주엽2동점,경기도,고양시,"경기도 고양시 일산서구  중앙로 1471, 105호",031-918-9291
169,주안3호점,인천광역시,남구,인천광역시 남구  미추홀대로 591,032-872-9294
170,주문진읍점,강원도,강릉시,강원도 강릉시 주문진읍 시장길 30,033-662-3920
171,좌4동점,부산광역시,해운대구,"부산광역시 해운대구  세실로 174(좌동, 삼성아파트 분산상가 103호)",051-702-9482
172,"좌1,3동점",부산광역시,해운대구,"부산광역시 해운대구  대천로67번길 15, 112호",051-747-9266/051-704-9201
173,종암점,서울특별시,성북구,"서울특별시 성북구  종암로 19길 46, 103호",02-953-9192
174,종로4가점,서울특별시,종로구,서울특별시 종로구  창경궁로 113,02-747-9294
175,조치원점,세종특별자치시,조치원읍,"세종특별자치시  조치원읍   충현로 72,삼일상가@110호",044-865-8292
176,제천하소점,충청북도,제천시,충청북도 제천시  용두대로15가길 13,043-643-9294
177,제주한림점,제주도,제주시,제주도 제주시 한림읍 한림로 653,064-796-9454
178,제주중문점,제주도,서귀포시,제주도 서귀포시  천제연로 183-1,064-738-9280
179,제주외도점,제주도,제주시,"제주도 제주시  우정로18길 12, 1층",064-743-9294
180,제주영어도시점,제주도,서귀포시,제주도 서귀포시 대정읍 에듀시티로 23 상가동 105호,064-792-8293
181,제주연동점,제주도,제주시,제주도 제주시 연동 274-21,064-747-9280
182,제주아라점,제주도,제주시,제주도 제주시 아라1동  1718-3 원신아파트 상가 1층,064-702-9294
183,제주신촌점,제주도,제주시,"제주도 제주시 조천읍 신북로99,1층",064-721-4161
184,제주서사라점,제주도,제주시,제주도 제주시  서사로 149,064-722-9233
185,제주동홍점,제주도,서귀포시,제주도 서귀포시  일주동로 8588,064-733-8292
186,제주노형점,제주도,제주시,제주도 제주시  정존13길 14,064-746-8292
187,정자해변점,울산광역시,북구,울산광역시 북구  강동산하2로 7,052-944-9494
188,"정자2,3동점",경기도,성남시,"경기도 성남시 분당구  내정로 54, 한솔마을 나상가동 104호",031-716-9949
189,정자1동점,경기도,성남시분당구,경기도 성남시분당구  내정로119번길 17,031-715-8294
190,정읍수성점,전라북도,정읍시,전라북도 정읍시  수성택지4길 4,063-537-9992
191,정읍상동점,전라북도,정읍시,전라북도 정읍시  학산로 127-31(상동),063-532-9294
192,"정왕3,4동점",경기도,시흥시,"경기도 시흥시  정왕신길로49번길 28, 미주@상가 107호",031-488-9492
193,정발산점,경기도,고양시,경기도 고양시 일산동구  산두로 239,031-925-3892
194,정림복수점,대전광역시,서구,대전광역시 서구  정림동로5번길 40,042-585-9492
195,정릉역점,서울특별시,성북구,"서울특별시 성북구 정릉로 26길 8, 제상가동 1층",02-943-9294
196,정릉1호점,서울특별시,성북구,서울특별시 성북구  보국문로16길 74,02-919-9294
197,정관신도시점,부산광역시,기장군,"부산광역시 기장군 정관읍 가동길 8-25, 1층",051-728-9494
198,정관모전점,부산광역시,기장군,"부산광역시 기장군 정관면 정관로 350, 323동 B101호 (이지더원3차)",051-723-9292
199,전주효자중화산2호점,전라북도,전주시,전라북도 전주시 완산구 효자동1가 623-4번지,063-223-9492
200,전주평화점,전라북도,전주시,전라북도 전주시 완산구  평화로 139,063-287-9494
201,전주진북점,전라북도,전주시,전라북도 전주시 덕진구 진북동 434-45번지,063-272-8294
202,전주에코시티점,전라북도,전주시,전라북도 전주시 덕진구  세병로74. 1층 101호,063-278-9494
203,전주아중점,전라북도,전주시,전라북도 전주시 덕진구  무삼지로 53,063-246-9294
204,전주서신점,전라북도,전주시,전라북도 전주시 완산구  전룡로 28,063-274-9294
205,전주삼천점,전라북도,전주시,"전라북도 전주시 완산구  난전들로258, 1층 5호 (삼천동1가)",063-225-9294
206,전북혁신도시점,전라북도,완주군,"전라북도 완주군 이서면  출판로 42 , 101호",063-229-9294
207,전북남원점,전라북도,남원시,전라북도 남원시  옥정2길 13,063-636-9253
208,전남화순점,전라남도,화순군,전라남도 화순군 화순읍 광덕리 305번지,061-375-9294
209,전남장흥점,전라남도,장흥군,전라남도 장흥군 장흥읍 북부로 62-1,061-863-8592
210,전남영암점,전라남도,영암군,전라남도 영암군 영암읍 중앙로 16,061-473-8245
211,전남영광점,전라남도,영광군,전라남도 영광군 영광읍 옥당로 123,061-353-9294
212,전남나주점,전라남도,나주시,"전라남도 나주시  중앙로 20, 1층",061-334-3070
213,전남광양읍점,전라남도,광양시,전라남도 광양시 광양읍 유당로 43,061-763-9553 / 061-763-9552
214,전남강진점,전라남도,강진군,전라남도 강진군 강진읍 보은로1길 25,061-433-9392
215,전곡점,경기도,연천군,경기도 연천군 전곡읍 은전로 86번길 18,031-835-9492
216,재궁오금동점,경기도,군포시,경기도 군포시 금정동 719번지,031-452-9288/031-452-9289
217,장천산동점,경상북도,구미시,"경상북도 구미시 산동면 산호대로39길16, 1동 101호",054-476-9285
218,장지역점,서울특별시,송파구,서울특별시 송파구  송이로36길 37,02-430-9294
219,장지동점,경기도,광주시,경기도 광주시 장지동 342-12 정현빌딩 A동,031-766-9294
220,장안2동점,서울특별시,동대문구,"서울특별시 동대문구  장한로33길 34, 1층",02-2247-9393
221,장안1동점,서울특별시,동대문구,"서울특별시 동대문구  장한로 9길 16,1층",02-2244-9299
222,장성창포점,경상북도,포항시,경상북도 포항시 북구  대곡로 10,054-252-9595
223,장성읍점,전라남도,장성군,전라남도 장성군 장성읍 청운길 9-1,061-392-9492
224,장기감삼점,대구광역시,달서구,대구광역시 달서구 장기동 528,053-523-9492
225,잠원점,서울특별시,서초구,서울특별시 서초구  강남대로95길 47-4,02-545-9666
226,잠실본동점,서울특별시,송파구,서울특별시 송파구 잠실본동 222-10 1층,02-417-9290
227,잠실2호점,서울특별시,송파구,서울특별시 송파구  석촌호수로 135,02-414-9294
228,잠실1호점,서울특별시,송파구,서울특별시 송파구  올림픽로 35길 104-108,02-412-9492
229,작전서운점,인천광역시,계양구,인천광역시 계양구  까치말로45번길 10,032-545-8294
230,작전2동점,인천광역시,계양구,"인천광역시 계양구  계양대로 120번길 7, 102호",032-541-9294
231,자운점,대전광역시,유성구,대전광역시 유성구 신봉동 5-2 창조레스텔 1층,042-862-9282042-862-9284
232,자양점,서울특별시,광진구,서울특별시 광진구  뚝섬로 41길 8,02-458-9221
233,임학점,인천광역시,계양구,"인천광역시 계양구  계양산로 216번길 14, 103호",032-546-9294
234,일신부개점,인천광역시,부평구,인천광역시 부평구  경인로 1002번길 34-1,032-517-9229
235,일산풍동점,경기도,고양시,"경기도 고양시 일산구  고풍로 72-41, 104호",031-932-9492
236,일산장항점,경기도,고양시,경기도 고양시 일산구 장항동 902번지 호수마을1단지 중관 1058호,031-907-7775
237,일산식사점,경기도,고양시,"경기도 고양시 일산구  위시티3로 75, 1층",031-962-9492
238,일산가좌점,경기도,고양시,경기도 고양시 일산서구 가좌동 392-22번지 오성프라자 101호,031-922-8294
239,일도동광초점,제주도,제주시,제주도 제주시  연수로3길 7,064-752-5592
240,인헌점,서울특별시,관악구,서울특별시 관악구  인헌길 43,02-888-9492
241,인천효성점,인천광역시,계양구,인천광역시 계양구 효성2동 242-7번지 신진상가 A동 107호,032-547-8294
242,인천주안2호점,인천광역시,남구,인천광역시 남구  석정로 379,032-866-0444
243,인천주안1호점,인천광역시,미추홀구,"인천광역시 미추홀구 석바위로 112, 1층",032-434-9495
244,인천용현2점,인천광역시,남구,인천광역시 남구  낙섬중로 72,032-884-9288
245,인천연희점,인천광역시,서구,인천광역시 서구 심곡동 336-4번지 1층 103호,032-566-9794
246,인천신포점,인천광역시,중구,인천광역시 중구  신포로23번길 35-1,032-765-9494
247,인천숭의점,인천광역시,남구,인천광역시 남구  수봉로 6-15,032-884-8294
248,인천석남점,인천광역시,서구,인천광역시 서구  석남로 78,032-581-3100
249,인천검단점,인천광역시,서구,인천광역시 서구 마전동 903-12번지 101호,032-564-1001
250,인창1호점,경기도,구리시,경기도 구리시 인창동 383-54번지 1층,031-515-9449
251,인제점,강원도,인제군,강원도 인제군 인제읍 상동리 296-8,033-461-9494/033-461-2517
252,인계동수원점,경기도,수원시,경기도 수원시 팔달구 인계동 167-8,031-217-9294
253,익산영등점,전라북도,익산시,전라북도 익산시  무왕로 15길 5-4,063-833-9288
254,익산어양점,전라북도,익산시,"전라북도 익산시  무왕로 19길 18, 1층 103호",063-835-1199
255,익산신동점,전라북도,익산시,전라북도 익산시  익산대로68길 26,063-837-9494
256,익산부송점,전라북도,익산시,전라북도 익산시  무왕로26길 21,063-832-9288
257,익산모현점,전라북도,익산시,전라북도 익산시  선화로3길 39-15,063-858-8998
258,익산동산점,전라북도,익산시,전라북도 익산시 중앙로166-1 1층 (마동),063-842-8998/063-842-8008
259,이태원점,서울특별시,용산구,서울특별시 용산구  우사단로12길 18,02-792-9291
260,이충장당점,경기도,평택시,경기도 평택시 서정동 1104-7번지,031-664-9492
261,이천하이닉스점,경기도,이천시,"경기도 이천시 부발읍 경충대로 2216-4, 1층 101호",031-635-9492
262,이천점,경기도,이천시,경기도 이천시  이섭대천로 1381,031-638-0655
263,이천관고점,경기도,이천시,경기도 이천시  영창로 149,031-638-9298
264,이문2호점,서울특별시,동대문구,서울특별시 동대문구 이문동 345-7번지,02-966-9294
265,이문1호점,서울특별시,동대문구,서울특별시 동대문구  신이문로 38,02-967-2827
266,이매점,경기도,성남시,"경기도 성남시 분당구  이매로13, 108호",031-706-1567
267,의정부용현점,경기도,의정부시,경기도 의정부시 (용현동) 용민로 75-27,031-851-8694
268,의정부민락점,경기도,의정부시,"경기도 의정부시  오목로 168, 산들마을 제동상가 104호",031-851-9282/031-851-9283
269,의정부동점,경기도,의정부시,경기도 의정부시  신흥로 196,031-875-9492
270,의정부녹양점,경기도,의정부시,경기도 의정부시 녹양동 326-2,031-829-9244
271,의왕오전점,경기도,의왕시,경기도 의왕시  오전동길 25,031-399-5599
272,의왕삼동부곡점,경기도,의왕시,경기도 의왕시  솔밭길 18-4,031-462-9297/031-462-9298
273,응암1호점,서울특별시,은평구,서울특별시 은평구 응암로22길 7-1,02-353-9492
274,음성혁신1호점,충청북도,음성군,충청북도 음성군 맹동면 용두2나길 12,043-883-9294
275,은행선화점,대전광역시,중구,대전광역시 중구  대종로549번길 14,042-254-8292
276,은행동점,경기도,성남시,경기도 성남시 중원구 은행동 701번지 1층,031-742-9295
277,은평뉴타운점,서울특별시,은평구,"서울특별시 은평구  진관4로 78-8, 701동 104호",02-388-9492
278,은천점,서울특별시,관악구,"서울특별시 관악구  은천로 61, 1층",02-883-9495
279,율량사천점,충청북도,청주시,충청북도 청주시 청원구  율천북로 55,043-213-9294
280,율량2지구점,충청북도,청주시,충청북도 청주시 청원구 주성로 289,043-241-9282
281,유천점,대전광역시,중구,대전광역시 중구  태평로44번길 32,042-523-9492
282,유가점,대구광역시,달성군,대구광역시 달성군 유가면 테크노중앙대로6길 20 1층 (봉리592-1),053-616-9482
283,위례1호점,경기도,성남시수정구,"경기도 성남시수정구 위례광장로 45, 1층 102호",02-448-9294/031-751-9294
284,월피점,경기도,안산시,"경기도 안산시 상록구 안산천서로5길 27, 1층",031-405-9492
285,월계2동점,서울특별시,노원구,서울특별시 노원구 월계동 776 월계프라자 104호,02-906-9294
286,원통점,강원도,인제군,강원도 인제군 북면 원통로147번길 41,033-461-0002
287,원주혁신점,강원도,원주시,"강원도 원주시  황금로 13, 201호",033-731-9488
288,원주단구점,강원도,원주시,"강원도 원주시  단구로 414, 1층 102호",033-761-9258
